Approved symbol	Gene group name	Gene group ID	Ensembl ID(supplied by Ensembl)
PCDHA@	Clustered protocadherins	20	
PNI2			
CAE1			
ESRL1			
PWCR			
PYGBL			
S12			
S7			
DFNA47			
DIANPH			
SSAV1			
TDO2L1			
MIR3614	MicroRNAs	476	ENSG00000284542
ERVT5			
TTIM1			
TUBAL1			
MIR6858	MicroRNAs	476	ENSG00000276350
MIR6860	MicroRNAs	476	ENSG00000283326
MDCR			
BCHEL1			
BCHEL3			
CYP2A			
POF1			
INSSA2			
LGCR			
MER1			
ESRL2			
MSK3			
MIR3619	MicroRNAs	476	ENSG00000266533
GDNFRA			
MSK30			
CORD8			
PCDHB@	Clustered protocadherins	20	
PCDHACT	Clustered protocadherins	20	
MIR3943	MicroRNAs	476	ENSG00000264069
NEDD2			
MSK36			
SDH1			
HAO3			
MSK38			
SDH2			
CAE2			
AFG3			
SPCH1			
USH1F			
RP20			
GLC1A			
MIR6861	MicroRNAs	476	ENSG00000283793
DFNA15			
BUB1L			
MTX			
MTXP			
GUCA2			
ETK1			
HTX1			
TAC1R			
MIR8088	MicroRNAs	476	ENSG00000275335
CYP2B			
ZRK			
TAC2R			
MIR550B2	MicroRNA MIR550 family	1800	ENSG00000283461
PDB4			
GJA2			
WHCR			
LLP			
MYCLK1			
CRTL2			
EIF2B			
LIG2			
MAPT-IT1	Intronic transcripts	1989	ENSG00000279685
UCHL2			
DBIL4			
ELNR1			
XGR			
DIH1			
PNIA2			
PNIA3			
PNIA4			
PNIA5			
SRML2			
ZNF15L2			
IGKVOR2@			
C21orf12			
EIF2G			
C21orf32			
CMKRL2			
RSS			
PARD6G-AS1	Antisense RNAs	1987	ENSG00000267270
DFNB21			
AEZ			
DYRK1			
FBNL			
IGHV@			
MRX4			
HSPCAL4			
OR5D4			
ZNF49			
AAC1			
ZNF52			
CDRT10			
CDRT2			
CDRT5			
AAC2			
HNP36			
ZNF53A			
CDH21			
MIR6862-1	MicroRNAs	476	ENSG00000275429
ZNF53B			
MIR6864	MicroRNAs	476	ENSG00000274300
ZNF54A			
ZNF54B			
SH3D1A			
SPACR			
ZNF59			
ATN1L			
GUC1A2			
ATRC1			
ATRC2			
MIR6865	MicroRNAs	476	ENSG00000278517
ZNF60			
SLO			
OR11I2P			
ZNF63			
MIR6867	MicroRNAs	476	ENSG00000274621
MIR6869	MicroRNAs	476	ENSG00000284436
HYP			
ZNF65			
CSNB2			
TRP-TGG2-1	Cytoplasmic transfer RNAs	842	
ZNF68			
PGA@			
ERCC6-PGBD3			
PSF4			
PTK3B			
PYHG4			
UCHH2			
BCGF1			
ACTL5			
PYHG8			
PCDHG@	Clustered protocadherins	20	
PLAC5			
PYHG9			
ALDRL2			
MIR6870	MicroRNAs	476	ENSG00000273745
LMNL1			
AVPR3			
ZNF78L2			
GUC1A3			
TRE-TTC5-1	Low confidence cytoplasmic transfer RNAs	1877	
GUC1B3			
ZNF86			
ZNF87			
GUC2C			
ZNF88			
MIR3912	MicroRNAs	476	ENSG00000264249
MIR6872	MicroRNAs	476	ENSG00000283848
ZNF97			
ZNF110			
ZNF111			
ZNF113			
PR@			
GUC2D			
IHG2			
IRID1			
CDRT11			
CMAR			
SNRPNP1			
ZNF118			
MT1S			
ZNF119			
ZNF120			
VTNR			
FGS3			
ITGAW			
SSAV1L			
RPL23P1			
RONU			
IRID2			
PABPL1			
HCHOLA4			
RECA			
GLC3A			
JTK5A			
JTK5B			
TNFAIP5			
ERVT1			
FACL1			
SCA23			
ZNF128			
ZNF129			
TAS2R44			
ZNF130			
MYSA			
PTPN8			
MIR6876	MicroRNAs	476	ENSG00000274988
MIR6877	MicroRNAs	476	ENSG00000273932
M6P2			
TAS2R23			
TAS2R33	Taste 2 receptors	1162	
XWNPEP			
UMS			
S8			
NEDD7			
XRCC4L			
DYX6			
IL14			
MIR6878	MicroRNAs	476	ENSG00000283933
MIR6881	MicroRNAs	476	ENSG00000277391
MIR6882	MicroRNAs	476	ENSG00000275411
LRE3			
LRE4			
SC			
MTS1			
MIR3658	MicroRNAs	476	ENSG00000283936
SCZD2			
MT-7SDNA	Mitochondrially encoded regions	1973	
YWHAD			
MT-HPR	Mitochondrially encoded regions	1973	
MT-HSP1	Mitochondrially encoded regions	1973	
INPP3			
MT-OHR	Mitochondrially encoded regions	1973	
MT-RNR3	Mitochondrially encoded regions	1973	
FNTBL1			
NFIXL1			
APOEL1			
NFIXL2			
AVR			
BEVI			
NFIXL3			
ESA4			
NFIXL5			
FIM3			
MIC12			
HTOR			
DLX9			
MTL4			
NHCP1			
PCH2			
PSF1			
SCA4			
TKCR			
NBCCS			
ANCR			
TRT-CGT5-1	Cytoplasmic transfer RNAs	842	
MIR6883	MicroRNAs	476	ENSG00000284117
RPLP1L2			
RPLP1L3			
RPLP1L4			
ATP5BL2			
MIR6885	MicroRNAs	476	ENSG00000274390
CECR			
CHE2			
NEDD10			
MIR6886	MicroRNAs	476	ENSG00000284553
CTM			
SIAT5			
F7R			
MIR6888	MicroRNAs	476	ENSG00000275141
GPB			
HEP10			
KCNA9			
HABP1			
NOVA3			
TCF6			
LINC01512	Long intergenic non-protein coding RNAs	1986	
MAFD1			
MGCR			
MSK14			
TCF6L2			
ZNF150			
OAP			
PEPC			
MIR3184	MicroRNAs	476	ENSG00000284399
CDX3			
DM2			
MIR6890	MicroRNAs	476	ENSG00000284488
ERVT2			
MIR6891	MicroRNAs	476	ENSG00000277402
IGKDEL			
LCA			
OLFR1			
RPL17L1			
OPMD			
RPS3L1			
DPAGT			
EFE2			
HOXC@			
RPS17L3			
HVBS6			
FRAXF			
ZNF159			
MIR6892	MicroRNAs	476	ENSG00000278449
MIR6895	MicroRNAs	476	ENSG00000276575
PRCA1			
KRT15L			
TRF-GAA3-1	Cytoplasmic transfer RNAs	842	
NHE1			
LMX1			
FRA10G			
RPS6KB3			
MIR4315-1	MicroRNAs	476	ENSG00000284055
PFD			
APECED			
FOXG1C			
IGHVOR15@			
LINC00856	Long intergenic non-protein coding RNAs	1986	ENSG00000230417
IGHVOR16@			
MIR7107	MicroRNAs	476	ENSG00000284402
ZNFP1			
DCR			
AAVS1			
KRT22			
INSAF			
GFI2			
CMTX1			
MIR7109	MicroRNAs	476	ENSG00000284082
MIR7110	MicroRNAs	476	ENSG00000284421
NFATC5			
DSS			
BCPM			
SIATL1			
CZP1			
PTPN17			
SPAR			
CATHL1L			
ALS1			
EEGV1			
MIR7111	MicroRNAs	476	ENSG00000276712
SYCP1L3			
MIR4282	MicroRNAs	476	ENSG00000266180
MYP1			
OCP1			
FRA5B			
MIR7113	MicroRNAs	476	ENSG00000284293
MIR3118-1	MicroRNA MIR3118 family	1866	ENSG00000266299
HPV18I1			
NACB			
MSBP3			
TRBF1			
MIR4329	MicroRNAs	476	ENSG00000283775
TRBF2			
ZNF170			
AGS			
MYHK			
T3D			
IDDM6			
PUAB4			
MUC3B	Mucins	648	
ZNF838			
ED2			
DYX2			
ED1			
EDA2			
GPR16			
MIR7161	MicroRNAs	476	ENSG00000278571
MIR7160	MicroRNAs	476	ENSG00000273593
P2RY7			
MIR486-2	MicroRNA MIR486 family	1790	ENSG00000283450
CSD1			
CSD2			
MIR7702	MicroRNAs	476	ENSG00000274263
CSD3			
RN5S2@			
SNF2L1			
SYCP1L2			
SNF2L2			
SNF2L3			
MIR7703	MicroRNAs	476	ENSG00000283856
FAM41BY			
SNF2L4			
SNF5L1			
CCA			
HPAFP			
MED			
DYRK1AIP3			
PTK1			
ORCTL2			
DNM1DN3@			
RBM1			
NF1L3			
TAS2R36	Taste 2 receptors	1162	
BWSCR1B			
DFNA17			
RASGRF3			
OIAS			
ICCA			
GCTG			
PRKG1B			
PPLA2			
GSK2			
IL11RB			
SGM1			
RPS1L			
EIF4G			
AGTRL2			
XPNPEP			
MIR3138	MicroRNAs	476	ENSG00000264931
LMNL2			
DFN7			
RIEG1			
FOLR2L			
SAA@			
ZNF178			
PMS2L7			
VIS1			
CCV			
GGTL1			
GGTL2			
MIR6511A3	MicroRNAs	476	ENSG00000276311
PMS2L8			
ZNF122			
AGTBP			
MIR7851	MicroRNAs	476	ENSG00000278520
CDC18L			
DNAH13			
FOLHP			
ZNF21			
TCL4			
ZNF210			
SRK			
FAK2			
BRIC			
STX1B1			
CYP27			
MIR3177	MicroRNAs	476	ENSG00000265820
MIR8053	MicroRNAs	476	ENSG00000277388
LPAL1			
PFIC1			
IMPT1			
MIR4310	MicroRNAs	476	ENSG00000264850
SCZD4			
RDH1			
WBSCR3			
MIR8084	MicroRNAs	476	ENSG00000277063
OFC#			
PCOS1			
LPGP1			
PSBP1			
SSFA1			
GAD3			
PBG1			
FAUNA@			
TUPLE1			
ATP6V1A2			
MS			
ACBP			
C16orf2			
CPD1			
FLN1			
ALS3			
RPLP1L1			
MIR6511A4	MicroRNAs	476	ENSG00000273613
ACHAP			
STOT			
TSTA2			
TP53CP			
WBSCR6			
RBMY1A2			
FGFR6			
WBSCR7			
CNCA1			
CNCA2			
ARF2			
CNCG1			
MIR7150	MicroRNAs	476	ENSG00000274932
PBGD			
CNCG2			
CNCG3			
CNCG3L			
MIR7152	MicroRNAs	476	ENSG00000274824
MIR7153	MicroRNAs	476	ENSG00000283492
MUC8	Mucins	648	
G6PT2			
NIP1L			
M17S1			
MIR7154	MicroRNAs	476	ENSG00000276639
PIN1L2			
PIN3			
MIR7157	MicroRNAs	476	ENSG00000283506
ILF3L			
DNMT			
LOH18CR1			
CRTM			
CPETR1			
CPETR2			
CPETRL2			
MIR7158	MicroRNAs	476	ENSG00000276733
MUC9			
C6orf2			
IGHV7-77			
CLDN21			
PRKGR1B			
FBXO20			
C6orf16			
HVEB			
GPR36			
C6orf17			
SGK2			
RP16			
HVEC			
MRX38			
DYT11			
SCA12			
ZNF231			
DPD1			
RMCH			
NBIA1			
CXYorf12			
BPES3			
TSG10			
WBSCR2			
OR1Q3			
ETM2			
TNRC3			
MIR7843	MicroRNAs	476	ENSG00000273830
TNRC10			
FRDA2			
TNRC13			
MIR4433B	MicroRNAs	476	ENSG00000264297
TNRC7			
MIR7844	MicroRNAs	476	ENSG00000283818
EEF1A1L14			
G6PT			
PTK8			
WBSCR4			
F5F8D			
CFNS			
CPETR			
MIR7845	MicroRNAs	476	ENSG00000277590
LGMD2G			
ZNF186			
SFT			
MSNL2			
MIR7846	MicroRNAs	476	ENSG00000283789
FANCH			
KRTAP9L1			
CCD#			
CDSP			
DFNB16			
MIR7849	MicroRNAs	476	ENSG00000278438
RAD51A			
RAD51L1			
RAD51L3			
PLOSL			
MIR3196	MicroRNAs	476	ENSG00000266463
CRFB4			
MIR7850	MicroRNAs	476	ENSG00000277904
IL10R			
XPNPEPL			
TMVCF			
PLA2G4			
GLC1E			
MIR7852	MicroRNAs	476	ENSG00000275455
LOH19CR1			
MIR4289	MicroRNAs	476	ENSG00000265873
ZNF196			
OR1E5			
ZNF199			
MIR7854	MicroRNAs	476	ENSG00000277255
OR1F9			
C17orf2			
MIR7855	MicroRNAs	476	ENSG00000284269
MIR3159	MicroRNAs	476	ENSG00000264603
OR1F7			
OR1F8			
RBMY1C	RNA binding motif containing	725	
PEG3-AS1	Antisense RNAs	1987	
OR1F6			
OR1G2			
SNAR-A3	Small NF90 (ILF3) associated RNAs	1624	
INT6			
SYB1			
C2orf20			
SNAR-A5	Small NF90 (ILF3) associated RNAs	1624	
SYB2			
CYRN1			
DUX3			
OR1E4			
IGHV3-38-3	Immunoglobulin heavy locus at 14q32.33	349	
IGHV4-38-2	Immunoglobulin heavy locus at 14q32.33	349	
DUX5			
OR2F3			
DUX1			
OR2B5			
SNAR-A10	Small NF90 (ILF3) associated RNAs	1624	
OR10B2			
GINGF			
SNAR-B2	Small NF90 (ILF3) associated RNAs	1624	
SNAR-C2	Small NF90 (ILF3) associated RNAs	1624	
SNAR-C4	Small NF90 (ILF3) associated RNAs	1624	
C12orf1			
C16orf1			
DBCCR1			
PUAB5			
SNAR-E	Small NF90 (ILF3) associated RNAs	1624	
CACP			
SNAR-H	Small NF90 (ILF3) associated RNAs	1624	
SNAR-I	Small NF90 (ILF3) associated RNAs	1624	
STK2			
XCE			
SAP1			
SBMA			
SNAR-C5	Small NF90 (ILF3) associated RNAs	1624	
MIR7973-2	MicroRNAs	476	ENSG00000283614
SNAR-B1	Small NF90 (ILF3) associated RNAs	1624	
SCG1			
SHMT			
MTHFC			
SPG1			
SNAR-C1	Small NF90 (ILF3) associated RNAs	1624	
SPG2			
TNFA			
TNFB			
CDYP			
MIR7974	MicroRNAs	476	ENSG00000274713
SNAR-C3	Small NF90 (ILF3) associated RNAs	1624	
HV1S			
SNAR-D	Small NF90 (ILF3) associated RNAs	1624	
TRM2			
TSE1			
UVO			
WND			
WS1			
SNAR-G2	Small NF90 (ILF3) associated RNAs	1624	
XPAC			
AN1			
RH			
CO			
CRYA2			
DO			
MIR7976	MicroRNAs	476	ENSG00000276083
MIR7977	MicroRNAs	476	ENSG00000283333
EBDCT			
FSHD			
MIR4307	MicroRNAs	476	ENSG00000265165
LGMD1			
HECTD2-AS1	Antisense RNAs	1987	
MIR4258	MicroRNAs	476	ENSG00000264349
AE1			
MIR7978	MicroRNAs	476	ENSG00000283281
TRQ-CTG14-1			
BORJ			
EPB3			
CGS23			
LILRA3	Activating leukocyte immunoglobulin like receptors|CD molecules	1181|471	
MIR3139	MicroRNAs	476	ENSG00000265623
OR2A8			
GAGE8	GAGE family	1845	
SNAR-A7	Small NF90 (ILF3) associated RNAs	1624	
MIR7856	MicroRNAs	476	ENSG00000278281
